pt,en,es,fr,it,gl,ro
devaneio,daydream,ensueno,reve,sognare ad occhi aperti,sonar despierto,visarea cu ochii deschisi
relativo,relative,relativo,relatif,parente,achegada,relativ
prodigio,prodigy,prodigio,prodige,prodigio,prodixio,minune
passivel,passable,pasable,passable,accettabile,transitable,acceptabil
conserto,repair,reparar,reparation,riparazione,reparacion,reparatie
gratidao,gratitude,gratitud,gratitude,gratitudine,gratitude,recunostinta
analogia,analogy,analogia,analogie,analogia,analoxia,analogie
insercao,insertion,insercion,insertion,inserimento,insercion,inserare
modestia,modesty,modestia,modestie,modestia,modestia,modestie
apologia,apology,disculpa,excuses,scuse,desculpas,scuze
ativista,activist,activista,activiste,attivista,activista,activist
remissao,remission,remision,remise,remissione,remision,iertare
inospito,inhospitable,inhospito,inhospitalier,inospitale,inhospito,neospitalier
destarte,therefore,por lo tanto,donc,percio,polo tanto,prin urmare
mediocre,mediocre,mediocre,mediocre,mediocre,mediocres,mediocru
monotono,monotonous,monotono,monotone,monotono,monotono,monoton
despeito,spite,despecho,depit,dispetto,despecho,ciuda
fomentar,foment,fomentar,fomenter,fomentare,fomentar,fomenteaza
inefavel,ineffable,inefable,ineffable,ineffabile,inefable,inefabil
respaldo,support,apoyo,soutien,supporto,apoiar,a sustine
retorica,rhetoric,retorica,rhetorique,retorica,retorica,retorica
concerne,concerns,preocupaciones,preoccupations,preoccupazioni,preocupacions,preocupari
alicerce,foundation,base,fondation,fondazione,fundacion,fundatie
sinonimo,synonym,sinonimo,synonyme,sinonimo,sinonimo,sinonim
proceder,proceed,proceder,proceder,procedere,proceder,continua
metodico,methodical,metodico,methodique,metodico,metodico,metodic
primazia,primacy,primacia,primaute,primato,primacia,primatul
perfidia,perfidy,perfidia,perfidie,perfidia,perfidia,perfidie
rechacar,reject,rechazar,rejeter,rifiutare,rexeitar,respinge
historia,history,historia,histoire,storia,historia,istorie
portanto,therefore,por lo tanto,donc,percio,polo tanto,prin urmare
demagogo,demagogue,demagogo,demagogue,demagogo,demagogo,demagog
complexo,complex,complejo,complexe,complesso,complexo,complex
consiste,it consists,consiste,il consiste,consiste,consiste,consta
criterio,criterion,criterio,critere,criterio,criterio,criteriu
notivago,notivago,notivago,notivago,notivago,nonivago,nuivago
distinto,distinct,distinto,distinct,distinto,distinto,distinct
espectro,spectrum,espectro,spectre,spettro,espectro,spectru
sucumbir,succumb,sucumbir,succomber,soccombere,sucumbir,sucomba
abnegado,selfless,desinteresado,desinteresse,altruista,desinteresado,altruista
amalgama,amalgam,amalgama,amalgame,amalgama,amalgama,amalgam
desfecho,outcome,resultado,resultat,risultato,resultado,rezultat
singular,singular,singular,singulier,singolare,singular,singular
suscitar,arouse,despertar,susciter,suscitare,espertar,trezi
paradoxo,paradox,paradoja,paradoxe,paradosso,paradoxo,paradox
escarnio,mockery,mofa,moquerie,beffa,burla,bataie de joc
contexto,context,contexto,contexte,contesto,contexto,context
processo,process,proceso,processus,processi,proceso,proces
elegivel,eligible,elegible,admissible,idoneo,elixibles,eligibil
comunhao,communion,comunion,communion,comunione,comunon,comuniune
vocabulo,word,palabra,mot,parola,palabra,cuvant
objetivo,goal,meta,but,obiettivo,obxectivo,poarta
refletir,reflect,reflejar,refleter,riflettere,reflexo,reflectati
impavido,fearless,valiente,intrepide,impavido,sen medo,neinfricat
maestria,mastery,maestria,la maitrise,padronanza,mestria,maiestrie
obstante,nevertheless,sin embargo,neanmoins,tuttavia,con todo,cu toate acestea
endemico,endemic,endemico,endemique,endemico,endemica,endemice
designio,design,diseno,conception,progetto,deseno,proiecta
juridico,legal,legal,legal,legale,legal,legale
problema,problem,problema,probleme,problema,problema,problema
solicito,helpful,util,utile,utile,util,util
instigar,instigate,instigar,susciter,istigare,instigar,instiga
incrivel,incredible,increible,incroyable,incredibile,incrible,incredibil
epifania,epiphany,epifania,epiphanie,epifania,epifania,epifanie
redencao,redemption,redencion,rachat,redenzione,redencion,rascumparare
mediante,through,a traves de,a travers,attraverso,a traves,prin
paralelo,parallel,paralelo,parallele,parallelo,paralelo,paralel
insipido,tasteless,insipido,insipide,insapore,insipido,lipsit de gust
resoluto,resolute,resuelto,resolu,risoluto,resolto,hotarat
imanente,immanent,inmanente,immanent,immanente,inmanente,imanent
generico,generic,generico,generique,generico,xenerico,generic
sanidade,sanity,cordura,sante mentale,sanita mentale,cordura,sanatate psihica
perspicaz,insightful,perspicaz,perspicace,perspicace,perspicaz,profund
reciproco,reciprocal,reciproco,reciproque,reciproco,reciproco,reciproc
concessao,concession,concesion,concession,concessione,concesion,concesiune
impressao,printing,impresion,impression,stampa,impresion,imprimare
escrupulo,scruple,escrupulo,scrupule,scrupolo,escrupulo,scrupul
superfluo,superfluous,superfluo,superflu,superfluo,superfluo,de prisos
retificar,rectify,rectificar,rectifier,rettificare,rectificar,rectifica
paradigma,paradigm,paradigma,paradigme,paradigma,paradigma,paradigma
dicotomia,dichotomy,dicotomia,dichotomie,dicotomia,dicotomia,dihotomie
proposito,purpose,objetivo,but,scopo,proposito,scop
presuncao,presumption,presuncion,presomption,presunzione,presuncion,prezumtie
concepcao,design,diseno,conception,progetto,deseno,proiecta
hipocrita,hypocrite,hipocrita,hypocrite,ipocrita,hipocrita,ipocrit
ratificar,ratify,ratificar,ratifier,ratificare,ratificar,ratifica
implicito,implicit,implicito,implicite,implicito,implicito,implicit
plenitude,fullness,plenitud,plenitude,pienezza,plenitude,plenitudine
essencial,essential,basico,essentiel,essenziale,esencial,esential
hegemonia,hegemony,hegemonia,hegemonie,egemonia,hexemonia,hegemonie
corolario,corollary,corolario,corollaire,corollario,corolario,corolar
incidente,incident,incidente,incident,incidente,incidente,incident
esdruxulo,strange,extrano,etrange,strano,estrano,ciudat
altruismo,altruism,altruismo,altruisme,altruismo,altruismo,altruism
vagabundo,tramp,vagabundo,clochard,vagabondo,vagabundo,vagabond
altruista,altruistic,altruista,altruiste,altruistico,altruista,altruist
hermetico,airtight,hermetico,hermetique,ermetico,hermetico,ermetic
aleatorio,random,aleatorio,aleatoire,casuale,aleatoria,aleatoriu
esperanca,hope,esperanza,espoir,speranza,esperanza,speranta
promiscuo,promiscuous,promiscuo,promiscuite,promiscuo,promiscuo,promiscuu
persuadir,persuade,persuadir,persuader,persuadere,persuadir,convinge
confianca,trust,confianza,confiance,fiducia,confiar,incredere
deliberar,deliberate,adrede,volontaire,deliberato,deliberado,delibera
sapiencia,sapience,sapiencia,sapience,sapienza,sapiencia,intelepciune
indelevel,indelible,indeleble,indelebile,indelebile,indeleble,de nesters
demasiado,too,tambien,aussi,pure,tamen,de asemenea
mesquinho,petty,insignificante,petit,trascurabile,mesquino,mic
diligente,diligent,diligente,diligent,diligente,dilixente,harnic
impetuoso,impetuous,impetuoso,impetueux,impetuoso,impetuoso,impetuos
descricao,description,descripcion,description,descrizione,descricion,descriere
regozijar,rejoice,alegrarse,rejouir,rallegrarsi,alegrarse,bucura
resignado,resigned,renunciar,resigne,rassegnato,dimitido,demisionat
inusitado,unusual,inusual,inhabituel,insolito,rara,neobisnuit
eminencia,eminence,eminencia,eminence,eminenza,eminencia,eminenta
compaixao,compassion,compasion,compassion,compassione,compaixon,compasiune
prudencia,prudence,prudencia,prudence,prudenza,prudencia,prudenta
pretensao,pretension,pretension,pretention,pretesa,pretension,pretensionare
discricao,discretion,discrecion,discretion,riservatezza,discrecion,discretie
analitico,analytical,analitico,analytique,analitico,analitico,analitic
explicito,explicit,explicito,explicite,esplicito,explicito,explicit
ordinario,ordinary,comun,ordinaire,ordinario,ordinario,comun
percepcao,perception,percepcion,perception,percezione,percepcion,perceptie
exequivel,feasible,factible,realisable,fattibile,factible,fezabil
nostalgia,nostalgia,nostalgia,nostalgie,nostalgia,nostalxia,nostalgie
subjetivo,subjective,subjetivo,subjectif,soggettivo,subxectivo,subiectiv
autonomia,autonomy,autonomia,autonomie,autonomia,autonomia,autonomie
autoctone,autochthonous,autoctono,autochtone,autoctono,autoctona,autohton
resolucao,resolution,resolucion,resolution,risoluzione,resolucion,rezolutie
companhia,company,compania,entreprise,azienda,empresa,companie
desdenhar,disdain,desden,mepris,disprezzo,desprezo,dispret
fidedigno,trustworthy,confiable,digne de confiance,affidabile,de confianza,demn de incredere
dissensao,dissension,disension,dissension,dissenso,disension,disensiuni
expressao,expression,expresion,expression,espressione,expresion,expresie
constante,constant,constante,constante,costante,constante,constant
supressao,suppression,supresion,suppression,soppressione,supresion,suprimare
taciturno,taciturn,taciturno,taciturne,taciturno,taciturno,taciturn
imparcial,impartial,imparcial,impartial,imparziale,imparcial,impartial
autentico,authentic,autentico,authentique,autentico,autentico,autentic
paciencia,patience,paciencia,patience,pazienza,paciencia,rabdare
ignorante,ignorant,ignorante,ignorant,ignorante,ignorante,ignorant
arrogante,arrogant,arrogante,arrogant,arrogante,arrogante,arogant
execravel,execrable,execrable,execrable,esecrabile,execrable,execrabil
outrossim,otherwise,de lo contrario,sinon,altrimenti,en caso contrario,in caz contrar
discorrer,discourse,discurso,discours,discorso,discurso,discurs
restricao,restriction,restriccion,restriction,restrizione,restricion,restrictie
desumilde,demeaning,degradante,humiliant,umiliante,degradante,injositoare
obstinado,obstinate,obstinado,obstine,ostinato,obstinado,incapatanat
consoante,consonant,consonante,consonne,consonante,consoante,consoana
jactancia,boast,presumir,se vanter,vantarsi,presumir,lauda
arcabouco,framework,estructura,cadre,struttura,marco,cadru
cognitivo,cognitive,cognitivo,cognitif,cognitivo,cognitivo,cognitive
adjacente,adjacent,adyacente,adjacent,adiacente,adxacentes,adiacent
eloquente,eloquent,elocuente,eloquent,eloquente,elocuente,elocvent
instancia,instance,instancia,exemple,esempio,instancia,instanta
interesse,interest,interes,interet,interesse,interese,interes
limitrofe,borderline,limite,limite,borderline,limite,la limita
sintetico,synthetic,sintetico,synthetique,sintetico,sintetica,sintetic
iminencia,imminence,inminencia,imminence,imminenza,inminencia,iminenta
submissao,submission,sumision,soumission,sottomissione,presentacion,supunere
pressagio,omen,presagio,presage,presagio,presaxio,augur
relevante,relevant,importante,pertinent,pertinente,relevantes,relevante
irascivel,irascible,irascible,irascible,irascibile,irascible,irascibil
empecilho,hindrance,obstaculo,obstacle,ostacolo,atranco,impiedicare
excelente,great,excelente,super,grande,xenial,grozav
liberdade,freedom,libertad,liberte,liberta,liberdade,libertate
ludibriar,deceive,enganar,tromper,ingannare,enganar,insela
aquisicao,acquisition,adquisicion,acquisition,acquisizione,adquisicion,achizitie
ambicioso,ambitious,ambicioso,ambitieux,ambizioso,ambicioso,ambitios
plausivel,plausible,plausible,plausible,plausibile,plausible,plauzibil
humildade,humility,humildad,humilite,umilta,humildade,umilinta
conviccao,conviction,conviccion,conviction,convinzione,conviccion,condamnare
primicias,firstfruits,primeros frutos,premiers fruits,primizie,primicias,primele fructe
dicionario,dictionary,diccionario,dictionnaire,dizionario,dicionario,dictionar
intrinseco,intrinsic,intrinseco,intrinseque,intrinseco,intrinseca,intrinsec
prescindir,do without,hacer sin,faire sans,fare senza,prescindir,fa fara
presuncoso,presumptuous,presuntuoso,presomptueux,presuntuoso,presuntuoso,prezumtios
diligencia,diligence,diligencia,diligence,diligenza,dilixencia,diligenta
corroborar,corroborate,corroborar,corroborer,corroborare,corroborar,coroboreaza
intemperie,weather,clima,meteo,tempo atmosferico,tempo,vreme
detrimento,detriment,detrimento,detriment,danno,prexuizo,in detriment
maturidade,maturity,madurez,maturite,scadenza,madurez,maturitate
parcimonia,parsimony,parsimonia,parcimonie,parsimonia,parsimonia,parcimonie
referencia,reference,referencia,reference,riferimento,referencia,referinta
inspiracao,inspiration,inspiracion,inspiration,ispirazione,inspiracion,inspiratie
inexoravel,inexorable,inexorable,inexorable,inesorabile,inexorable,inexorabil
pragmatico,pragmatic,pragmatico,pragmatique,pragmatico,pragmatico,pragmatic
prepotente,arrogant,arrogante,arrogant,arrogante,arrogante,arogant
incipiente,incipient,incipiente,naissant,nascente,incipiente,incipient
disruptivo,disruptive,disruptivo,perturbateur,dirompente,perturbador,perturbatoare
sororidade,sorority,hermandad de mujeres,sororite,sorellanza,irmandade,sorority
serenidade,serenity,serenidad,serenite,serenita,serenidade,seninatate
arbitrario,arbitrary,arbitrario,arbitraire,arbitrario,arbitrario,arbitrar
indulgente,indulgent,indulgente,indulgent,indulgente,indulxente,indulgent
auspicioso,auspicious,propicio,de bon augure,di buon auspicio,auspicioso,de bun augur
iniquidade,iniquity,iniquidad,iniquite,iniquita,iniquidade,nelegiuirea
pertinente,relevant,importante,pertinent,pertinente,relevantes,relevante
sagacidade,wit,ingenio,esprit,spirito,enxeno,spirit
resignacao,resignation,resignacion,demission,dimissioni,dimision,demisie
hipocrisia,hypocrisy,hipocresia,hypocrisie,ipocrisia,hipocrisia,ipocrizie
preconizar,advocate,defensor,avocat,avvocato,avogado,avocat
precedente,precedent,precedente,precedent,precedente,precedente,precedent
vislumbrar,glimpse,vistazo,apercu,occhiata,albiscar,o privire
incidencia,incidence,incidencia,incidence,incidenza,incidencia,incidenta
lisonjeado,flattered,halagada,flatte,lusingato,halagado,flatat
suscetivel,susceptible,susceptible,sensible,suscettibile,susceptibles,susceptibil
entretanto,nonetheless,sin embargo,neanmoins,cio nonostante,con todo,cu toate acestea
disposicao,disposition,disposicion,disposition,disposizione,disposicion,dispozitie
excentrico,eccentric,excentrico,excentrique,eccentrico,excentrico,excentric
subestimar,underestimate,subestimar,sous-estimer,sottovalutare,subestimar,subestima
preliminar,preliminary,preliminar,preliminaire,preliminare,preliminar,preliminar
tribulacao,tribulation,tribulacion,tribulations,tribolazione,tribulacion,necazul
depreender,deduce,deducir,deduire,dedurre,deducir,deduce
fleumatico,phlegmatic,flematico,flegmatique,flemmatico,flematico,flegmatic
anacronico,anachronistic,anacronico,anachronique,anacronistico,anacronico,anacronic
equivocado,mistaken,equivocado,trompe,sbagliato,equivocado,gresit
escrutinio,scrutiny,escrutinio,examen minutieux,scrutinio,escrutinio,examinare
retrogrado,retrograde,retrogrado,retrograde,retrogrado,retrogrado,retrograd
indolencia,indolence,indolencia,indolence,indolenza,indolencia,indolenta
excelencia,excellence,excelencia,excellence,eccellenza,excelencia,excelenta
ingerencia,interference,interferencia,ingerence,interferenza,interferencia,interferenta
democracia,democracy,democracia,democratie,democrazia,democracia,democratie
infortunio,misfortune,desgracia,malheur,sfortuna,desgraza,ghinion
compassivo,compassionate,compasivo,compatissant,compassionevole,compasivo,milos
contemplar,contemplate,contemplar,contempler,contemplare,contemplar,contempla
importante,important,importante,important,importante,importante,important
pejorativo,pejorative,peyorativo,pejoratif,peggiorativo,pexorativo,peiorativ
restringir,restrict,restringir,limiter,limitare,restrinxir,restrange
sintetizar,synthesize,sintetizar,synthetiser,sintetizzare,sintetizar,sintetiza
proposicao,proposition,proposicion,proposition,proposizione,proposicion,propozitie
signatario,signatory,signatario,signataire,firmatario,asinante,semnatar
primordial,primordial,primordial,primordial,primordiale,primordial,primordial
conjuntura,situation,situacion,situation,situazione,situacion,situatie
coercitivo,coercive,coactivo,coercitif,coercitivo,coercitivo,coercitiv
dissolucao,resolution,resolucion,resolution,risoluzione,resolucion,rezolutie
intrinseca,intrinsic,intrinseco,intrinseque,intrinseco,intrinseca,intrinsec
subjacente,underlying,subyacente,sous-jacent,sottostante,subxacente,subiacent
finalidade,goal,meta,but,obiettivo,obxectivo,poarta
itinerario,itinerary,itinerario,itineraire,itinerario,itinerario,itinerar
esplendido,splendid,esplendido,splendide,splendida,esplendido,splendid
alteridade,alterity,alteridad,alterite,alterita,alteridade,alteritate
pecuniaria,pecuniary,pecuniario,pecuniaire,pecuniario,pecuniario,pecuniara
espontaneo,spontaneous,espontaneo,spontane,spontaneo,espontanea,spontan
designacao,designation,designacion,designation,designazione,designacion,desemnare
transeunte,passerby,transeunte,passant,passante,transeunte,trecator
necessario,necessary,necesario,necessaire,necessario,necesario,necesar
constancia,constancy,constancia,constance,costanza,constancia,constanta
sarcastico,sarcastic,sarcastico,sarcastique,sarcastico,sarcastico,sarcastic
pusilanime,pusilC/nime,pusilC/nime,pusilC/nime,pusilC/nime,pusilC/nime,pusilC/nime
idoneidade,suitability,idoneidad,pertinence,adeguatezza,idoneidade,adecvarea
privilegio,privilege,privilegio,privilege,privilegio,privilexio,privilegiu
desprovido,devoid,vacio,depourvu,privo,carente,lipsit
verossimil,believable,creible,croyable,credibile,crible,credibil
pernostico,pernostic,pernostico,pernostique,pernostico,pernostico,pernostic
exacerbado,exacerbated,exacerbado,exacerbe,esasperato,exacerbado,exacerbata
felicidade,happiness,felicidad,bonheur,felicita,felicidade,fericire
relevancia,relevance,relevancia,pertinence,pertinenza,relevancia,relevanta
divergente,divergent,divergente,divergent,divergente,diverxente,divergente
disciplina,discipline,disciplina,discipline,disciplina,disciplina,disciplina
inferencia,inference,inferencia,inference,inferenza,conclusion,deducere
pernicioso,pernicious,pernicioso,pernicieux,pernicioso,perniciosa,pernicios
disseminar,disseminate,diseminar,disseminer,diffondere,difundir,diseminati
satisfacao,satisfaction,satisfaccion,satisfaction,soddisfazione,satisfaccion,satisfactie
meticuloso,meticulous,meticuloso,meticuleux,meticoloso,meticuloso,meticulos
reverberar,reverberate,reverberar,reverberer,riverberare,reverberar,reverbera
esporadico,sporadic,esporadico,sporadique,sporadico,esporadicos,sporadic
influencia,influence,influencia,influence,influenza,influencia,influenta
militancia,militancy,militancia,militantisme,militanza,militancia,militantism
retumbante,resounding,rotundo,retentissant,clamoroso,rotundo,rasunator
consolidar,consolidate,consolidar,consolider,consolidare,consolidar,consolida
fornicacao,fornication,fornicacion,fornication,fornicazione,fornicacion,curvie
subversivo,subversive,subversivo,subversif,sovversivo,subversivo,subversiv
significado,meaning,significado,signification,senso,significado,sens
perspectiva,perspective,perspectiva,perspective,prospettiva,perspectiva,perspectiva
resiliencia,resilience,resiliencia,resilience,resilienza,resiliencia,rezistenta
dissimulado,disguised,disfrazado,deguise,mascherato,disfrazado,deghizat
vicissitude,vicissitude,vicisitud,vicissitudes,vicenda,vicisitude,vicisitudine
complacente,complacent,suficiente,complaisant,compiacente,compracente,multumit
contundente,blunt,desafilado,emousse,smussare,contundente,bont
peremptorio,peremptory,perentorio,peremptoire,perentorio,perentorio,peremptorie
comorbidade,comorbidity,comorbilidad,comorbidite,comorbilita,comorbilidade,comorbiditate
compreensao,understanding,comprension,comprehension,comprensione,comprension,intelegere
perspicacia,insight,conocimiento,apercu,intuizione,perspicacia,perspicacitate
expectativa,expectation,expectativa,attente,aspettativa,expectativa,asteptare
pressuposto,assumption,suposicion,hypothese,assunzione,suposicion,presupunere
beneplacito,beneplacito,beneplacito,beneplacito,beneplacito,beneplacito,beneplacito
subterfugio,subterfuge,subterfugio,subterfuge,sotterfugio,subterfuxio,subterfugiu
preconceito,prejudice,prejuicio,prejuge,pregiudizio,prexuizo,prejudecata
experiencia,experience,experiencia,experience,esperienza,experiencia,experienta
indiferente,indifferent,indiferente,indifferent,indifferente,indiferente,indiferent
consonancia,consonance,consonancia,consonance,consonanza,consonancia,consonanta
pretensioso,pretentious,pretencioso,pretentieux,pretenzioso,pretencioso,pretentios
transcender,transcend,trascender,transcender,trascendere,transcender,transcende
imensuravel,immeasurable,inconmensurable,incommensurable,incommensurabile,inconmensurable,nemasurata
intensidade,intensity,intensidad,intensite,intensita,intensidade,intensitate
contingente,quota,cuota,quota,quota,cota,cota
beligerante,belligerent,beligerante,belligerant,belligerante,belixerante,beligerant
proeminente,prominent,prominente,eminent,prominente,destacado,proeminent
necessidade,need,necesidad,besoin,bisogno,necesidade,nevoie
superficial,superficial,superficial,superficiel,superficiale,superficial,superficial
concernente,concerning,sobre,concernant,riguardante,referente,cu privire la
benignidade,kindness,amabilidad,gentillesse,gentilezza,bondade,bunatate
contencioso,litigation,litigio,litige,contenzioso,litixio,litigii
inenarravel,unspeakable,indecible,indicible,indicibile,indicible,de nespus
animosidade,animosity,animosidad,animosite,animosita,animosidade,animozitate
intervencao,intervention,intervencion,intervention,intervento,intervencion,interventie
incumbencia,task,tarea,tache,compito,tarefa,sarcina
vocabulario,vocabulary,vocabulario,vocabulaire,vocabolario,vocabulario,vocabular
antagonismo,antagonism,antagonismo,antagonisme,antagonismo,antagonismo,antagonism
cumprimento,greeting,saludo,salutation,saluto,saudo,salut
resistencia,resistance,resistencia,resistance,resistenza,resistencia,rezistenta
indiferenca,indifference,indiferencia,indifference,indifferenza,indiferenza,indiferenta
reivindicar,claim,afirmar,reclamer,reclamo,reclamacion,revendicare
compreender,to understand,comprender,comprendre,capire,entender,a intelege
supracitado,aforementioned,citado,susmentionne,suddetto,mencionado anteriormente,mentionate mai sus
subsequente,subsequent,subsecuente,subsequent,successivo,posterior,ulterior
estereotipo,stereotype,estereotipo,stereotype,stereotipo,estereotipo,stereotip
integridade,integrity,integridad,integrite,integrita,integridade,integritate
diversidade,diversity,diversidad,diversite,diversita,diversidade,diversitate
ambiguidade,ambiguity,ambiguedad,ambiguite,ambiguita,ambiguidade,ambiguitate
deliberacao,release,liberar,liberer,pubblicazione,liberar,eliberare
especulacao,speculation,especulacion,speculation,speculazione,especulacion,speculatie
indulgencia,indulgence,indulgencia,indulgence,indulgenza,indulxencia,indulgenta
proveniente,originating,originario,originaire,originario,orixinaria,originara
divergencia,divergence,divergencia,divergence,divergenza,diverxencia,divergenta
elucubracao,lucubration,elucubracion,lucubration,elucubrazione,elucubracion,elucubratia
indubitavel,indubitable,indudable,indubitable,indubitabile,indubidable,indubitabil
austeridade,austerity,austeridad,austerite,austerita,austeridade,austeritate
prognostico,prognosis,pronostico,pronostic,prognosi,prognostico,prognoza
importancia,importance,importancia,importance,importanza,importancia,importanta
heterogeneo,heterogeneous,heterogeneo,heterogene,eterogeneo,heteroxeneo,eterogen
tergiversar,quibble,sutileza,ergoter,cavillare,cabreo,echivoc
benevolente,benevolent,benevolente,bienveillant,benevolo,benevolente,binevoitor
displicente,careless,descuidado,imprudent,negligente,descoidado,neglijent
negligencia,negligence,negligencia,negligence,negligenza,neglixencia,neglijenta
oportunista,opportunist,oportunista,opportuniste,opportunista,oportunista,oportunist
identificar,identify,identificar,identifier,identificare,identificar,identifica
estabelecer,to establish,establecer,etablir,stabilire,establecer,a stabili
conveniente,convenient,conveniente,pratique,conveniente,conveniente,convenabil
redundancia,redundancy,redundancia,redondance,ridondanza,redundancia,redundanta
congruencia,congruence,congruencia,congruence,congruenza,congruencia,congruenta
discriminar,discriminate,discriminar,discriminer,discriminare,discriminar,deosebi
consciencia,conscience,conciencia,conscience,coscienza,consciencia,constiinta
substantivo,substantive,sustantivo,substantiel,sostanziale,substantivo,substantiv
pragmatismo,pragmatism,pragmatismo,pragmatisme,pragmatismo,pragmatismo,pragmatism
providencia,providence,providencia,providence,provvidenza,providencia,providenta
excepcional,exceptional,excepcional,exceptionnel,eccezionale,excepcional,exceptional
admoestacao,admonition,amonestacion,admonition,ammonizione,advertencia,avertizare
conferencia,conference,conferencia,conference,conferenza,conferencia,conferinta
facultativo,optional,opcional,facultatif,opzionale,opcional,optional
sistematico,systematic,sistematico,systematique,sistematico,sistematico,sistematic
compulsorio,compulsory,obligatorio,obligatoire,obbligatorio,obrigatoria,obligatoriu
verborragia,verbiage,verbosidad,verbiage,verbosita,verborrea,verbiaj
comprimento,length,longitud,longueur,lunghezza,lonxitude,lungime
interseccao,intersection,interseccion,intersection,intersezione,interseccion,intersectie
subordinado,subordinate,subordinar,subalterne,subordinare,subordinado,subordonat
intelectual,intellectual,intelectual,intellectuel,intellettuale,intelectual,intelectual
melancolico,melancholic,melancolia,melancolique,malinconia,melancolia,melancolie
contradicao,contradiction,contradiccion,contradiction,contraddizione,contradicion,contradictie
generalizar,generalize,generalizar,generaliser,generalizzare,xeneralizar,generaliza
relativizar,relativize,relativizar,relativiser,relativizzare,relativizar,relativiza
desenvolver,to develop,desarrollar,developper,sviluppare,desenvolver,a dezvolta
substancial,substantial,sustancial,substantiel,sostanziale,substancial,substantiala
honestidade,honesty,honestidad,honnetete,onesta,honestidade,onestitate
dificuldade,difficulty,dificultad,difficulte,difficolta,dificultade,dificultate
retificacao,rectification,rectificacion,rectification,rettifica,rectificacion,rectificare
conservador,conservative,conservador,conservateur,conservatore,conservador,conservator
procedencia,origin,origen,origine,origine,orixe,origine
autoritario,authoritarian,autoritario,autoritaire,autoritario,autoritario,autoritar
determinado,determined,determinado,determine,determinato,determinado,determinat
amabilidade,kindness,amabilidad,gentillesse,gentilezza,bondade,bunatate
antagonista,antagonist,antagonista,antagoniste,antagonista,antagonista,antagonist
perseveranca,perseverance,perserverancia,perseverance,perseveranza,perseveranza,perseverenta
condolencias,condolences,condolencias,condoleances,condoglianze,condolencias,condoleante
remanescente,remaining,restante,restant,residuo,restante,ramas
prerrogativa,prerogative,prerrogativa,prerogative,prerogativa,prerrogativa,prerogativa
extrovertido,extroverted,extrovertido,extraverti,estroverso,extrovertido,extrovertit
complacencia,complacency,complacencia,complaisance,compiacimento,compracencia,complezenta
procrastinar,procrastinate,aplazar,remettre a plus tard,procrastinare,procrastinar,amana
discrepancia,discrepancy,discrepancia,divergence,discrepanza,discrepancia,discrepanta
determinacao,determination,determinacion,determination,determinazione,determinacion,determinare
independente,independent,independiente,independant,indipendente,independente,independent
consequencia,consequence,consecuencia,consequence,conseguenza,consecuencia,consecinta
intermitente,intermittent,intermitente,intermittent,intermittente,intermitente,intermitent
conveniencia,convenience,conveniencia,commodite,convenienza,conveniencia,comoditatea
benevolencia,benevolence,benevolencia,bienveillance,benevolenza,benevolencia,bunavointa
compartilhar,to share,para compartir,partager,condividere,compartir,a impartasi
eclesiastico,ecclesial!style,estilo eclesial!,style ecclesiastique,stile ecclesiale,estilo eclesial,stilul eclesial
contingencia,contingency,contingencia,contingence,contingenza,continxencia,contingenta
transgressao,transgression,transgresion,transgression,trasgressione,transgresion,transgresiune
felicitacoes,congratulations,felicidades,toutes nos felicitations,congratulazioni,parabens,felicitari
consideracao,consideration,consideracion,consideration,considerazione,consideracion,considerare
concomitante,concomitant,concomitante,concomitant,concomitante,concomitante,concomitent
convergencia,convergence,convergencia,convergence,convergenza,converxencia,convergenta
cordialidade,cordiality,cordialidad,cordialite,cordialita,cordialidade,cordialitate
conhecimento,knowledge,conocimiento,connaissance,conoscenza,conecemento,cunostinte
cumplicidade,complicity,complicidad,complicite,complicita,complicidade,complicitate
convencional,conventional,convencional,conventionnel,convenzionale,convencional,conventional
subsistencia,subsistence,subsistencia,subsistance,sussistenza,subsistencia,subzistenta
disseminacao,dissemination,diseminacion,dissemination,diffusione,difusion,diseminare
proselitismo,proselytism,proselitismo,proselytisme,proselitismo,proselitismo,prozelitism
sistematizar,systematize,sistematizar,systematiser,sistematizzare,sistematizar,sistematiza
complexidade,complexity,complejidad,complexite,complessita,complexidade,complexitate
coincidencia,coincidence,coincidencia,coincidence,coincidenza,coincidencia,coincidenta
prescindivel,dispensable,dispensable,dispensable,superfluo,prescindible,dispensabil
controversia,controversy,controversia,controverse,controversia,polemica,controversa
imprevisivel,unpredictable,impredecible,imprevisible,imprevedibile,impredicible,imprevizibile
impertinente,naughty,travieso,vilain,cattivo,impertinente,obraznic
inverossimil,unbelievable,increible,incroyable,incredibile,incrible,necrezut
escatologico,eschatological,escatologico,eschatologique,escatologico,escatoloxico,eshatologic
displicencia,carelessness,descuido,negligence,disattenzione,descoido,nepasare
interlocutor,interlocutor,interlocutor,interlocuteur,interlocutore,interlocutor,interlocutor
libertinagem,debauchery,libertinaje,debauche,dissolutezza,libertinaxe,depravare
ninfomaniaco,nymphomaniac,ninfomana,nymphomane,ninfomane,ninfomana,nimfoman
conformidade,conformity,conformidad,conformite,conformita,conformidade,conformitate
proporcionar,provide,proporcionar,fournir,fornire,proporcionar,oferi
