es,gl,Alignment Score
escatologico,escatoloxico,0.07777777777777772
descuido,descoido,0.1166666666666667
interlocutor,interlocutor,0.0
libertinaje,libertinaxe,0.08484848484848473
ninfomana,ninfomana,0.0
conformidad,conformidade,0.012121212121212088
proporcionar,proporcionar,0.0
prematuro,intempestivo,0.5111111111111111
murmuracion,murmurar,0.1416666666666666
extemporaneo,extemporaneo,0.0
fraternidad,fraternidade,0.012121212121212088
intolerancia,intolerancia,0.0
brillar,brillo,0.16666666666666663
perseverante,perseverante,0.0
merced,misericordia,0.25555555555555565
estabilidad,estabilidade,0.012121212121212088
mediocridad,mediocridade,0.012121212121212088
persistencia,persistencia,0.0
coexistencia,convivencia,0.24848484848484853
maquiavelico,maquiavelico,0.0
circunspecto,circunspecto,0.0
preeminencia,preeminencia,0.0
aquiescencia,aquiescencia,0.0
hermeneutica,hermeneutica,0.0
protagonista,protagonista,0.0
adicional,adicional,0.0
parcialmente,parcialmente,0.0
prominencia,protagonismo,0.4727272727272728
introvertido,introvertida,0.07777777777777772
consolidacion,consolidacion,0.0
oportunidad,oportunidade,0.012121212121212088
constitucion,constitucion,0.0
recipiente,recipiente,0.0
burlador,burlador,0.0
esplendido,fermoso,0.5142857142857143
estigmatizar,estigmatizar,0.0
consistencia,consistencia,0.0
parcialidad,parcialidade,0.012121212121212088
comprension,comprension,0.0
interesante,interesante,0.0
caracterizar,caracterizar,0.0
incircunciso,incircunciso,0.0
procedimiento,procedemento,0.08888888888888902
generosidad,xenerosidade,0.09696969696969693
acondicionamiento,condicionamento,0.01777777777777767
circunciso,circuncidado,0.10666666666666669
conventual,claustral,0.4740740740740741
sobreestimar,sobreestimar,0.0
fragmentacion,fragmentacion,0.0
literalmente,literalmente,0.0
inventiva,ingenio,0.2952380952380952
competencia,competencia,0.0
prosperidad,prosperidade,0.012121212121212088
despectivo,despectivo,0.0
legitimidad,lexitimidade,0.09696969696969693
sencillez,sinxeleza,0.3777777777777779
profesional,profesional,0.0
seguridad,seguridade,0.014814814814814725
ininterrumpido,ininterrompido,0.06666666666666665
extremadamente,excesivamente,0.27179487179487183
beneficencia,beneficencia,0.0
inescrutable,inescrutable,0.0
reciprocidad,reciprocidade,0.011111111111111072
contemporaneo,contemporaneo,0.0
inconveniente,inconveniente,0.0
heterosexual,heterosexual,0.0
circunstancia,circunstancia,0.0
discernimiento,discernimento,0.01025641025641022
solidaridad,solidariedade,0.024242424242424176
promiscuidad,promiscuidade,0.011111111111111072
resignificar,resignificar,0.0
intransigente,intransixente,0.07179487179487176
credibilidad,credibilidade,0.011111111111111072
discriminacion,discriminacion,0.0
trascendente,transcendente,0.011111111111111072
provisionado,aprovisionado,0.011111111111111072
epistemologia,epistemoloxia,0.07179487179487176
contrapartida,contrapartida,0.0
asintomatico,asintomatico,0.0
probatorio,probatoria,0.09333333333333327
perpendicular,perpendicular,0.0
incongruidad,incongruencia,0.15555555555555545
reminiscencia,reminiscencia,0.0
resentimiento,resentimento,0.011111111111111072
esteriotipado,estereotipado,0.07179487179487176
posibilidad,posibilidade,0.012121212121212088
censo,censo,0.0
intermediario,intermediario,0.0
fuertemente,fortemente,0.09999999999999998
preponderante,preponderante,0.0
indispensable,indispensable,0.0
subjetividad,subxectividade,0.10000000000000009
singularidad,singularidade,0.011111111111111072
hoy en dia,hoxe en dia,0.09999999999999998
subordinacion,submision,0.23703703703703716
longanimidad,longa paciencia,0.30555555555555547
convalecencia,convalecencia,0.0
detallado,detallado,0.0
autenticidad,autenticidade,0.011111111111111072
transformacion,transformacion,0.0
independencia,independencia,0.0
incontinencia,incontinencia,0.0
inestabilidad,inestabilidade,0.01025641025641022
sobreviniente,supervindo,0.45333333333333337
sensibilidad,sensibilidade,0.011111111111111072
introspectivo,introspectivo,0.0
afirmar,reclamacion,0.5333333333333334
elegibilidad,elegibilidade,0.011111111111111072
sobreestimado,sobreestimado,0.0
contradictorio,contraditorio,0.01025641025641022
inseparable,inseparables,0.012121212121212088
terrateniente,terratenente,0.011111111111111072
multifacetico,polifacetico,0.15555555555555556
posiblemente,posiblemente,0.0
recalcitrante,recalcitrante,0.0
desmitificar,desmitificar,0.0
incredulidad,incredulidade,0.011111111111111072
quintaesencia,quintaesencia,0.0
inconsecuente,intranscendente,0.28205128205128205
repuesto,recambio,0.5166666666666666
ininteligible,inintelixible,0.07179487179487176
poco escrupuloso,sen escrupulos,0.19523809523809532
comportamiento,comportamento,0.01025641025641022
personalidad,personalidade,0.011111111111111072
indescriptible,indescriptible,0.0
completamente,plenamente,0.12
implementacion,implementacion,0.0
monosilabico,monosilabo,0.019999999999999907
homogeneidad,homoxeneidade,0.08888888888888902
magnificencia,magnificencia,0.0
probablemente,probablemente,0.0
precipitadamente,precipitadamente,0.0
peculiaridad,peculiaridade,0.011111111111111072
circunscripcion,circunscricion,0.00952380952380949
consentir,consentimento,0.1333333333333333
incondicional,incondicional,0.0
convaleciente,convalecente,0.011111111111111072
reubicacion,traslado,0.5666666666666667
contentamiento,contento,0.05833333333333324
casualidad,serendipia,0.5933333333333334
concienzudo,concienzudo,0.0
correlacion,correlacionar,0.018181818181817966
enfriamiento,arrefriamento,0.15555555555555556
incandescente,incandescente,0.0
predisposicion,predisposicion,0.0
versatilidad,versatilidade,0.011111111111111072
consciente,consciente,0.0
innecesario,innecesario,0.0
responsable,responsable,0.0
supersticioso,supersticioso,0.0
indeterminado,indeterminado,0.0
imperceptible,imperceptible,0.0
representacion,representacion,0.0
especificacion,especificacion,0.0
identificacion,identificacion,0.0
reconciliacion,reconciliacion,0.0
desconocido,incognoscible,0.4121212121212121
reembolso,reembolso,0.0
receptividad,receptividade,0.011111111111111072
monocromo,monocromo,0.0
basico,esencial,0.6111111111111112
condescendiente,condescendente,0.00952380952380949
idiosincrasia,idiosincrasia,0.0
caracteristica,caracteristica,0.0
lujuria,luxuria,0.13333333333333341
extraordinario,extraordinario,0.0
demasiado,demasiado,0.0
intercurrencia,intercorrencia,0.06666666666666665
irreprochable,irreprochable,0.0
justificar,fundamentar,0.52
entrega rapida,listo para entrega,0.4285714285714285
inconmensurable,inconmensurable,0.0
discrecional,discrecional,0.0
preponderancia,preponderancia,0.0
arbitrariedad,arbitrariedade,0.01025641025641022
especificidad,especificidade,0.01025641025641022
posteriormente,posteriormente,0.0
imprescriptible,imprescriptible,0.0
insuperable,insalvable,0.26
contextualizar,contextualizar,0.0
empresa,empresa,0.0
ascendencia,ascendencia,0.0
entretenimiento,entretemento,0.02777777777777779
trascendental,transcendental,0.01025641025641022
gradualmente,aos poucos,0.6866666666666666
infraestructura,infraestrutura,0.00952380952380949
relacion,relacion,0.0
arrepentimiento,arrepentimento,0.00952380952380949
revolucionario,revolucionario,0.0
imparcialidad,imparcialidade,0.01025641025641022
superveniencia,superveniencia,0.0
bienaventurado,bendito,0.3238095238095239
tuyo sinceramente,saudos,0.588888888888889
trascendencia,transcendencia,0.01025641025641022
periodicamente,periodicamente,0.0
reconocimiento,reconecemento,0.15384615384615385
democratizacion,democratizacion,0.0
insignificante,insignificante,0.0
diligentemente,con dilixencia,0.4809523809523808
inconsecuencia,incoherencia,0.16666666666666663
personificacion,personificacion,0.0
no pretencioso,sen pretensions,0.2047619047619046
impersonalidad,impersonalidade,0.00952380952380949
socioambiental,socioambientais,0.0714285714285714
espontaneidad,espontaneidade,0.01025641025641022
funcionalidad,funcionalidade,0.01025641025641022
intransigencia,intransixencia,0.06666666666666665
aplicabilidad,aplicabilidade,0.01025641025641022
desapego,desprendemento,0.2833333333333332
dilacion,procrastinacion,0.29166666666666663
potencialidad,potencialidade,0.01025641025641022
principalmente,principalmente,0.0
indeciso,procrastinador,0.4833333333333334
desfalcador,malversador,0.38787878787878793
estratificacion,estratificacion,0.0
libertinaje,libertinaxe,0.08484848484848473
utilidad,axuda,0.4
extraordinario,extraordinario,0.0
excentricidad,excentricidade,0.01025641025641022
inconveniencia,inconveniente,0.1384615384615382
en disolucion,disolutamente,0.3897435897435896
felicidades,parabens,0.5666666666666667
pusilanimidad,pusilanimidade,0.01025641025641022
factibilidad,viabilidade,0.24848484848484853
epistemologico,epistemoloxico,0.06666666666666665
insustituible,insubstituible,0.01025641025641022
individualismo,individualismo,0.0
biodiversidad,biodiversidade,0.01025641025641022
resplandeciente,resplandeciente,0.0
jurisprudencia,xurisprudencia,0.06666666666666665
abundantemente,abundantemente,0.0
coercion,coaccion,0.21666666666666667
hacer disponible,para poner a disposicion,0.36249999999999993
plausibilidad,verosimilitude,0.4717948717948719
accesibilidad,accesibilidade,0.01025641025641022
internalizacion,interiorizacion,0.16888888888888876
acreditacion,acreditacion,0.0
papibaquigrafo,papibaquigrafo,0.0
constantemente,constantemente,0.0
exclusivamente,exclusivamente,0.0
multiplicidad,multiplicidade,0.01025641025641022
perfeccionista,perfeccionista,0.0
aleatoriamente,aleatoriamente,0.0
impresionante,impresionante,0.0
interrogatorio,cuestionando,0.5722222222222222
implicitamente,implicitamente,0.0
aclaracion,aclaracion,0.0
grandilocuente,grandilocuente,0.0
minuciosamente,a fondo,0.6857142857142857
permisividad,permisividade,0.011111111111111072
a menudo,moitas veces,0.5833333333333333
indistinto,indiscriminado,0.21333333333333326
interurbano,interurbano,0.0
concesionario,concesionaria,0.07179487179487176
sobrecargado,sobrecargado,0.0
transfiguracion,transfiguracion,0.0
